long,lat,group,csd_code
-79.96924659999999,43.4242382,3525005_2,3525005
-79.96955109999999,43.42446249999999,3525005_2,3525005
-79.9698617,43.42468170000001,3525005_2,3525005
-79.9748405,43.4281955,3525005_2,3525005
-79.9775086,43.43010580000001,3525005_2,3525005
-79.98100819999999,43.4326357,3525005_2,3525005
-79.9836132,43.434554299999995,3525005_2,3525005
-79.9845292,43.4351997,3525005_2,3525005
-79.9849816,43.4355228,3525005_2,3525005
-79.9865169,43.4366327,3525005_2,3525005
-79.98759439999999,43.4373812,3525005_2,3525005
-79.98983609999999,43.4390321,3525005_2,3525005
-79.9911077,43.43995419999999,3525005_2,3525005
-79.99349389999999,43.4416629,3525005_2,3525005
-79.9952398,43.442905499999995,3525005_2,3525005
-79.99573699999999,43.4432646,3525005_2,3525005
-79.9958961,43.443408399999996,3525005_2,3525005
-79.9961024,43.4435828,3525005_2,3525005
-79.99627029999999,43.4437028,3525005_2,3525005
-79.99668319999999,43.444004899999996,3525005_2,3525005
-79.9975487,43.4446078,3525005_2,3525005
-79.9982869,43.44510679999999,3525005_2,3525005
-79.9986409,43.44536249999999,3525005_2,3525005
-79.99898689999999,43.445585900000005,3525005_2,3525005
-79.99949889999999,43.44592629999999,3525005_2,3525005
-79.99983,43.4461709,3525005_2,3525005
-79.99995059999999,43.4462601,3525005_2,3525005
-80.00000109999999,43.4462974,3525005_2,3525005
-80.00010929999999,43.44639999999999,3525005_2,3525005
-80.0002476,43.4465231,3525005_2,3525005
-80.0008256,43.4469573,3525005_2,3525005
-80.0016071,43.447524599999994,3525005_2,3525005
-80.0021929,43.4479504,3525005_2,3525005
-80.0028729,43.448462000000006,3525005_2,3525005
-80.0055355,43.450359399999996,3525005_2,3525005
-80.0067779,43.4512444,3525005_2,3525005
-80.0084638,43.4524451,3525005_2,3525005
-80.0101013,43.45361119999999,3525005_2,3525005
-80.01178709999999,43.4548117,3525005_2,3525005
-80.01270989999999,43.4554688,3525005_2,3525005
-80.01385069999999,43.45628329999999,3525005_2,3525005
-80.0139161,43.4563372,3525005_2,3525005
-80.015772,43.457699399999996,3525005_2,3525005
-80.0196326,43.4605059,3525005_2,3525005
-80.0231642,43.4630393,3525005_2,3525005
-80.0239829,43.4636316,3525005_2,3525005
-80.0241679,43.4637637,3525005_2,3525005
-80.0247863,43.4642024,3525005_2,3525005
-80.0251991,43.4645057,3525005_2,3525005
-80.0274141,43.466087300000005,3525005_2,3525005
-80.02775059999999,43.4663401,3525005_2,3525005
-80.0284198,43.4668304,3525005_2,3525005
-80.02872049999999,43.4670439,3525005_2,3525005
-80.02912119999999,43.4673447,3525005_2,3525005
-80.0292614,43.4674518,3525005_2,3525005
-80.02945199999999,43.4675975,3525005_2,3525005
-80.0298023,43.4678694,3525005_2,3525005
-80.0301212,43.468109299999995,3525005_2,3525005
-80.0304441,43.46834140000001,3525005_2,3525005
-80.0308038,43.468590299999995,3525005_2,3525005
-80.0314514,43.46904019999999,3525005_2,3525005
-80.03394,43.470760600000006,3525005_2,3525005
-80.03433919999999,43.471056000000004,3525005_2,3525005
